gameId,seed,winner,victoryCondition,roundsPlayed,imperialDamage,operativeDamage,imperialDefeated,operativeDefeated,objectivesCompleted,totalCombats
1,42,Operative,Objectives completed (2/3),4,12,9,2,0,2,6
2,43,Imperial,All heroes wounded,10,88,41,6,2,1,54
3,44,Operative,Objectives completed (2/3),5,25,35,7,0,2,22
4,45,Imperial,All heroes wounded,9,86,33,6,3,1,50
5,46,Imperial,All heroes wounded,12,94,52,9,3,1,63
6,47,Operative,Objectives completed (2/3),3,0,5,1,0,2,4
7,48,Imperial,All heroes wounded,8,92,31,5,2,1,43
8,49,Imperial,All heroes wounded,8,98,18,4,3,1,44
9,50,Operative,Objectives completed (2/3),3,6,9,2,0,2,2
10,51,Operative,Objectives completed (2/3),4,12,13,3,1,2,13
11,52,Operative,Objectives completed (2/3),5,28,28,5,0,2,20
12,53,Imperial,Round limit reached - mission failed,13,75,49,10,3,0,59
13,54,Operative,Objectives completed (2/3),5,24,22,5,1,2,21
14,55,Operative,Objectives completed (2/3),5,24,22,5,0,2,27
15,56,Operative,Objectives completed (2/3),5,11,22,5,0,2,20
16,57,Imperial,All heroes wounded,9,94,51,10,2,1,52
17,58,Operative,Objectives completed (2/3),3,4,5,1,0,2,5
18,59,Operative,Objectives completed (2/3),5,34,22,5,0,2,24
19,60,Operative,Objectives completed (2/3),10,60,55,10,0,2,51
20,61,Operative,Objectives completed (2/3),2,0,0,0,0,2,1
21,62,Operative,Objectives completed (2/3),3,22,8,2,1,2,11
22,63,Operative,Objectives completed (2/3),3,8,8,2,0,2,5
23,64,Operative,Objectives completed (2/3),5,9,17,3,0,2,16
24,65,Imperial,All heroes wounded,11,98,33,7,3,1,49
25,66,Operative,Objectives completed (2/3),7,39,32,7,2,2,30
26,67,Operative,Objectives completed (2/3),4,30,15,3,1,2,11
27,68,Imperial,Round limit reached - mission failed,13,31,88,16,0,1,56
28,69,Imperial,Round limit reached - mission failed,13,71,76,14,1,1,59
29,70,Imperial,Round limit reached - mission failed,13,44,101,17,1,1,52
30,71,Imperial,Round limit reached - mission failed,13,53,57,10,2,1,58
31,72,Operative,Objectives completed (2/3),7,51,34,7,0,2,29
32,73,Operative,Objectives completed (2/3),5,5,22,5,0,2,25
33,74,Imperial,Round limit reached - mission failed,13,42,69,12,1,1,60
34,75,Operative,Objectives completed (2/3),5,22,21,4,0,2,23
35,76,Imperial,All heroes wounded,9,88,22,4,3,1,49
36,77,Operative,Objectives completed (2/3),2,0,4,1,0,2,1
37,78,Operative,Objectives completed (2/3),2,0,9,2,0,2,0
38,79,Operative,Objectives completed (2/3),6,62,18,4,1,2,30
39,80,Operative,Objectives completed (2/3),4,14,22,5,0,2,15
40,81,Imperial,All heroes wounded,10,90,21,4,3,1,55
41,82,Operative,Objectives completed (2/3),2,0,0,0,0,2,1
42,83,Imperial,All heroes wounded,9,84,41,8,3,0,39
43,84,Imperial,All heroes wounded,8,80,32,5,3,1,44
44,85,Operative,Objectives completed (2/3),3,16,13,3,0,2,6
45,86,Imperial,All heroes wounded,11,82,17,4,3,1,68
46,87,Operative,Objectives completed (2/3),5,30,32,7,0,2,19
47,88,Operative,Objectives completed (2/3),4,12,14,3,0,2,12
48,89,Imperial,All heroes wounded,8,80,22,5,2,0,35
49,90,Imperial,Round limit reached - mission failed,13,64,61,11,2,1,63
50,91,Operative,Objectives completed (2/3),4,16,10,2,0,2,17